oncology,mRNA,dna
0,0.581460185,7.84
0,0.287109443,7.86
0,0.731270358,8.25
0,2.37041972,8.54
0,3.359017134,8.58
0,0.374592834,8.95
0,21.57518831,9.68
0,0.960692871,10.2
0,1.754830113,10.23
0,0.75,10.25
0,2.128664495,10.25
0,0.631921824,10.55
0,0.67,10.86
0,0.82,11.64
0,0.784810127,11.65
0,1.224516989,12.64
0,2.946020128,12.84
0,73.89980977,13.17
0,0.243488589,14.23
0,16.35949765,14.35
0,0.786499215,15.41
0,1.772151899,15.87
0,0.86,17.15
0,1.9,17.62
0,0.439706862,18.25
0,17.54830113,19.26
0,0.938110749,20.02
0,0.095600677,20.36
0,2.660892738,20.36
0,1.01,20.41
0,0.972469071,20.66
0,0.645928637,20.95
0,0.768820786,21.26
0,0.98,21.74
0,0.427714857,22.25
0,0.532978015,22.39
0,3.212524983,22.83
0,0.649837134,22.84
0,2.01598934,22.85
0,0.7,24.95
0,0.799634035,25.25
0,0.616651418,26.65
0,1.39,28.61
0,1.304666057,30.05
0,0.817932296,30.25
0,0.48534202,30.35
0,0.875065342,30.55
0,17.08185861,30.78
0,12.19060297,32.25
0,0.724611162,33.35
0,9.875124784,33.35
0,1.200532978,33.62
0,10.20945639,33.62
0,13.79381483,36.65
0,0.49,39.87
0,0.830618893,42.28
0,0.36,44.05
0,0.57,44.13
0,0.92,54.87
0,0.839440373,55.25
0,10.00424009,55.26
0,0.905537459,55.5
0,2.271818787,55.84
0,0.661237785,60.06
0,0.897394137,60.82
0,1.043973941,68.68
0,0.406395736,70.59
0,7.280130293,70.72
0,0.43,72.57
0,0.87,74.21
0,26.39731373,78.25
0,1.741505663,78.26
0,1.67063129,85.65
0,0.94967978,86.65
0,17.32099102,88.59
0,0.81,93.37
0,3.810047096,94.8
0,0.55,102.13
0,213.7974882,103.86
0,0.732899023,110.95
0,0.29,115.57
0,23.18960051,115.85
0,5.38,120.96
0,1.488341106,121.45
0,62.37793278,121.6
0,1.62,121.94
0,12.17,122.01
0,0.49,126.12
0,0.94,127.96
0,7.6,131.17
0,11.99215071,172.52
0,0.500951173,183.27
0,1.45,198.29
0,0.705211726,202.32
0,0.6,235.83
0,3.84,252.73
0,1.93,284.29
0,2.02,298
0,0.87,307.35
0,0.818008878,332.07
0,0.64,349.17
0,7.12,368.39
0,2.34,372.49
0,1.17,374.71
0,30.2700157,382.41
0,0.79,417.49
0,0.86,465.48
0,125.6405024,469.21
0,0.81,623.16
0,2.393151554,633.95
0,98.91439442,742.4
0,1.9,787.38
0,0.74,870.23
0,5.368916797,888.38
0,58.59026688,901.86
0,15.59,908.48
0,62.89795918,1076.27
0,3.99,1109.18
0,0.74,1112.54
0,1.29,1171.23
0,0.61,1196.12
0,54.50549451,1238.02
0,432.8471782,1392.65
0,1.08,1420.1
0,698.7158556,1568
0,2.09,1612.48
0,0.78,1627.42
0,94.64364207,1934.01
0,254.3092622,1937.68
0,21.42,2013.3
0,1.96,2193.57
0,404.6252378,2213.26
0,479.0062794,2233.47
0,674.4395604,2467.77
0,0.69,118231
